ROCO_81826	 Model bone showing the extent of graft insertion
ROCO_82095	 Three-dimensional computed tomography scan 4 years after first operation also demonstrates a complete smooth bone plate.
ROCO_82096	 Thought leaderPrenatal exposure to PAHs may affect cognitive development later on.
ROCO_82097	 Arthroscopic views of the right knee. Meniscocapsular separation at overlapping middle segment of the double-layered lateral meniscus.
ROCO_82098	 Day 18 post-presentation of case 2 illustrates the extent of the wound at its worse. The necrotic tissue has started to slough, with a portion of necrotic skin still present
ROCO_82099	 The cover of the program book: The Unstable Plaque: From Molecules to the Community.
ROCO_82101	 Arthroscopic finding of the lesion on the medial femoral condyle; after excision of fragment and multiple drilling of the lesion.
ROCO_82103	 After treating a 3rd recurrence, the corneal opacities were milder, but still remained (case 1).
ROCO_82104	 Atrophy of the shoulder musculature. The right infraspinatus muscle is atrophic, and the infraspinous fossa is dented (arrow)
ROCO_82105	 Field of view (FOV) through the direct endocardial visualization catheter measuring 2.8 mm across the central hood aperture and 6.8-mm-diameter hood face. The FOV facilitates visual mapping for the anatomic gap of electrical reconnection embedded in the region of earliest activation. Local endocardial tissue electrogram (EGM) signals were recorded by 4 metal-plate contact electrodes situated on the hood face. The electrodes were configured by an EP recording system (Prucka) to provide 4 pairs of contact bipolar EGMs across the hood face and displayed on the EP recording system (Prucka). A Lasso electrode is seen in contact with the left superior pulmonary vein tissue in the FOV.
ROCO_82106	 Immobilization with K-wire confirmed via C-arm
ROCO_82107	 Fifteen cm long balloon
ROCO_82110	 Program flow chart of image process before porosity calculation. The left region of image is cornea and the right region is sclera
ROCO_82111	 The patient is placed in the left lateral decubitus position during surgery. Note the port sites arranged around the small flank incision (hand port).
ROCO_82112	 Photography of patient two years after surgery
ROCO_82114	 Location of left subcallosal cortex (red) and left anterior cingulate gyrus (blue) regions of interest (ROI). The thresholded ROIs are displayed using Mricron with the structural T1-weighted Montreal Neurological Institute (MNI) 1 mm template in FSL.
ROCO_82116	 Canadian provinces and territories ranked by total toxic emissions of selected carcinogens to air (2011)
ROCO_82117	 Tessier zone 14 cleft, representing midline fusion failure and/or bilateral zone 12/13 pathology
ROCO_82118	 Intracorporeal retractor used to retract gallbladder fundus.
ROCO_82119	 The tested vehicle.
ROCO_82120	 Nasal epistaxis
ROCO_82121	 Flap artery and vein
ROCO_82122	 Hammond as a Civilian Neurologist . 1877.c. 1877. Hammond described athetosis in 1871. Etching by E.B. Hall. Courtesy of the U.S. National Library of Medicine.
ROCO_82123	 The rule of the square: “The proximal and distal segments of long bones are defined by a square whose sides are the same length as the widest part of the epiphysis” (Müller et al. 1990). Müller classification: The width defined by both bones. The reference line defined as the most distal (or proximal) part of the bone. Li-La classification (and in this study): The width defined by one bone (radius). The reference line defined as the epiphyseal plate.AO pediatric classification: The width defined by both bones. The reference line defined as the epiphyseal plate. The proximal lines of the squares define the border between the diaphysis and the metaphysis. The fracture illustrated is defined as a forearm shaft fracture according to the Müller and Li-La classifications (and in this study), and as a distal forearm fracture according to the AO pediatric classification.
ROCO_82126	 Left eye of the patient, note the edematous and opaque cornea and the large horn-like epithelial bulla.
ROCO_82127	 Transverse vertical section of the brain, through the fore part of the foramen magnum, looked at from the front.
ROCO_82128	 Dr Louis Hurwitz
ROCO_82129	 Symptoms suggesting altered pain and temperature processing have been described in dementia diseases. Using a semi-structured caregiver questionnaire and MRI voxel-based morphometry in patients with frontotemporal degeneration or Alzheimer’s disease, Fletcher et al. show that these symptoms are underpinned by atrophy in a distributed thalamo-temporo-insular network implicated in somatosensory processing.
ROCO_82130	 Separate and partially overlapping striatal regions encoding unique valuation components of probabilistic rewards. Activity in dorsal striatum positively correlated with U (in this case magnitude), and in ventral striatum with probability. Their product, that is expected utility, positively correlated with a third, and overlapping striatal region. Figure adapted from Tobler et al. (2007).
ROCO_82132	   Dilated vasculature but no change in caliber (equivocal).
ROCO_82133	 SNP electrostatically attached to a thin TiO2 film on a Si substrate material.
ROCO_82134	 We recommend #1 polypropylene suture (Covidien Surgipro #1 HGS-22 tapered needle for fixation sutures.
ROCO_82135	 Stress area recorded in black field for determination the contraction stress
ROCO_82136	 Ruptured havar foil of a medical cyclotron
ROCO_82138	 A photograph of a specimen from Group 1 shows the medial and lateral supraclavicular nerve branches.
ROCO_82139	 Respiratory distress syndrome (RDS) on lung ultrasonography. Lung ultrasound findings of RDS (grade III RDS on chest radiography) in a neonate (gestational age,33 weeks; cesarean section delivery; birth weight, 1915 g). Lung ultrasound showed pleural line abnormalities, disappearance of A-lines, subpleural lung consolidation with many air bronchograms, and pleural effusion.
ROCO_82140	 Tessier zone 6 (posterior maxillary) cleft, supplied by the posterior superior alveolar artery
ROCO_82141	 Puncture site for the vaginal trocar
ROCO_82142	 Résultat fonctionnel à 3 mois
ROCO_82143	 Portrait of Marcello Malpighi [4].
ROCO_82144	 MRI scan showing cerebellar tonsillar herniation of 17 mm below foramen magnum
ROCO_82146	 The small intestine was densely adherent to the anterior abdominal wall in Patient 2. Cadiere graspers in the robot's right hand provided traction on the bowel. Scissors in the robot's left hand divided the adhesions.
ROCO_82147	 Serum Sensitivity and Resistant Pattern of E. coli
ROCO_82148	 Es1e SCID mice injected intravenously with neuroblastoma cells develop multiple disseminated tumors.SK-N-AS cells (5×105) transduced to express luciferase were injected into tail veins.One month following injection of tumor cells, mice were injected intraperitoneally with luciferin and imaged using a Xenogen IVIS imaging system, according the directions of the manufacturer.Multiple tumors were present in 100% of mice.Two representative mice are shown.
ROCO_82149	 Front view of the top and bottom parts of the gonadal shield. The shield has a V cut for inserting the testis and to hold in position; wax coating is done on the inner surface of the shields.
ROCO_82150	 Vertical vaginal cuff closure with bilateral uterosacral ligament vaginal vault suspension.
ROCO_82151	 The images on the left show (a) the filed-down Kerrison punches used for bone removal, the (b) ventral osteophytes in the cervical spinal canal, and (c) the down-biting curettes used to remove these osteophytes in the cervical spine. The midline image is of a cervical laminectomy C3–C7 with (A) medial facetectomy foraminotomy, (B) foraminal root elevation with a nerve hook, and (C) use of the down-biting curette to remove foraminal osteophytes
ROCO_82153	 A bone marrow aspirate concentrate (BMAC) is injected into an osteochondral lesion following marrow stimulation of the talus.
ROCO_82154	 Postoperative bone defect
ROCO_82155	 Model domain, discretization, and topography for the 2 km × 2 km area surrounding Zindarou. The model domain is superimposed on an Ikonos image of the Zindarou environs. Grid cells are 50 m square. Zindarou village is located at the center of this model domain.
ROCO_82156	 Outpouching (nasal septal spur).
ROCO_82158	 Sun protective hood used in a case of XPA.
ROCO_82159	 3D image PA geometry for the control subject generated using the maximum velocity data at t = 0.096s with a semi-transparent iso-surface in Ensight. The planes for the PAs, MPA, RPA, and LPA, are positioned perpendicular to the respective PAs.
ROCO_82160	 Intra-aortic balloon pump in-situ and arrow showing tense skin with blisters of the affected limb
ROCO_82161	 Reconstruction of the skull and jugular foramen. Oblique ventral view of a volumetric reconstruction of the skull (transparent) containing the JF of both sides (red). The reconstruction shows the channel-like conformation of the JF.
ROCO_82163	 Trabecular-Iris Circumference Volume (TICV).Anterior Segment Optical Coherence Tomography (ASOCT) image exhibiting trabecular-iris space area 750 μm from the scleral spur landmark (TISA750; light green space) and trabecular-iris circumference volume 750 μm from the scleral spur landmark (TICV750; darker green spaces), along with the scleral spur landmark (red circle), iris (yellow), and cornea (violet line) in an open angle [18].
ROCO_82164	 Illustration of the anterior chamber area (ACA), which was defined by the borders of the corneal endothelium, angle, iris surface, and the anterior lens epithelium.
ROCO_82165	 Fused sacral and caudal vertebrae in IS-Tlk/Kyo adult rat (arrow).
ROCO_82168	 The specially designed device used to measure the distance from the incisors to the occiput
